    0  event|事件                             0
    1  static|静态                            0
    2  relation|关系                          1
    3  isa|是非关系                           2
    4  be|是                                  3
    5  become|成为                            4
    6  mean|指代                              4
    7  BeNot|非                               3
    8  possession|领属关系                    2
    9  own|有                                 8
   10  obtain|得到                            9
   11  receive|收受                           9
   12  BelongTo|属于                          8
   13  OwnNot|无                              8
   14  lose|失去                             13
   15  InDebt|亏损                           14
   16  owe|欠                                 8
   17  comparison|相比关系                    2
   18  BeSame|相同                           17
   19  equal|相等                            18
   20  BeSimilar|相像                        18
   21  differ|不同                           17
   22  worth|值得                            17
   23  WorthNot|不值                         17
   24  suit|相适关系                          2
   25  fit|适合                              24
   26  ServeAsFoil|陪衬                      24
   27  FitNot|不适                           24
   28  inclusive|蕴涵关系                     2
   29  contain|包含                          28
   30  BeMember|隶属                         28
   31  connective|关联关系                    2
   32  relate|有关                           31
   33  depend|依靠                           32
   34  RelateNot|无关                        31
   35  BeIndependent|独立                    34
   36  BeOpposite|对立                       34
   37  CauseResult|因果关系                   2
   38  ResultIn|导致                         37
   39  ResultFrom|缘于                       37
   40  BaseOn|基于                           37
   41  influence|影响                        37
   42  TimeOrSpace|时空关系                   2
   43  situated|处于                         42
   44  facing|朝向                           42
   45  LeadTo|通往                           42
   46  from|相距                             42
   47  BeNear|靠近                           46
   48  BeAcross|相交                         46
   49  BeBeyond|越界                         46
   50  arithmetic|数量关系                    2
   51  DoSum|算术                            50
   52  AmountTo|总计                         50
   53  state|状态                             1
   54  StatePhysical|物理状态                53
   55  ExistAppear|存现                      54
   56  exist|存在                            55
   57  ExistNot|不存在                       55
   58  appear|出现                           55
   59  exposure|露出                         58
   60  happen|发生                           55
   61  begin|起始                            54
   62  BeNormal|常态                         54
   63  certainty|定或未定态                  62
   64  fixed|已定                            63
   65  unfixed|未定                          63
   66  ComeToWorld|问世                      62
   67  alive|活着                            62
   68  function|活动                         67
   69  grow|成长                             62
   70  pregnant|怀孕                         62
   71  GoOn|继续                             62
   72  withstand|抗住                        71
   73  WithstandNot|抗不住                   71
   74  undergo|经受                          62
   75  enjoy|享受                            74
   76  suffer|遭受                           74
   77  AptTo|易于                            74
   78  endure|忍耐                           74
   79  EndureNot|不忍                        74
   80  UndergoNot|不经受                     62
   81  BeGood|良态                           54
   82  BeFull|吃饱                           81
   83  BeWell|健壮                           81
   84  lucky|幸运                            81
   85  prosper|发达                          81
   86  succeed|成功                          81
   87  win|获胜                              81
   88  surpass|强过                          81
   89  WellKnown|成名                        81
   90  BeRecovered|复原                      54
   91  awake|醒                              90
   92  change|变                             54
   93  AppearanceChange|外观变               92
   94  StateChange|态变                      93
   95  FormChange|形变                       93
   96  QuantityChange|量变                   92
   97  BecomeMore|增多                       96
   98  surplus|剩余                          96
   99  lack|缺少                             96
  100  BecomeLess|减少                       96
  101  BeBad|衰变                            92
  102  tired|疲乏                           101
  103  HungryThirsty|饥渴                   101
  104  SufferFrom|罹患                      101
  105  ill|病态                             104
  106  wounded|受伤                         105
  107  disable|残疾                         105
  108  labour|临产                          105
  109  mad|疯痴                             105
  110  paralyse|瘫麻                        105
  111  painful|疼痛                         105
  112  dizzy|昏迷                           105
  113  twitch|抽搐                          105
  114  bleed|出血                           105
  115  swollen|肿胀                         105
  116  fever|寒热                           105
  117  StomachTrouble|腹症                  105
  118  pant|气喘                            105
  119  inflamed|发炎                        105
  120  itch|发痒                            105
  121  OutOfOrder|坏掉                      101
  122  decline|衰败                         101
  123  unfortunate|不幸                     101
  124  fail|失败                            101
  125  err|出错                             124
  126  defeated|输掉                        124
  127  inferior|不如                        101
  128  end|终结                              92
  129  die|死                               128
  130  finish|完毕                          128
  131  perish|灭亡                          128
  132  due|到期                             128
  133  WeatherChange|天变                    92
  134  WeatherFine|好天                     133
  135  WeatherBad|坏天                      133
  136  ChangeNot|不变                        54
  137  disappear|消失                        54
  138  StateMental|精神状态                  53
  139  feeling|情绪                         138
  140  cherish|心怀                         139
  141  excited|激动                         139
  142  FeelingByGood|好情                   139
  143  AtEase|安心                          142
  144  calm|镇静                            143
  145  joyful|喜悦                          142
  146  satisfied|满意                       142
  147  FeelNoQualms|无愧                    142
  148  shameless|没羞                       142
  149  FeelingByBad|坏情                    139
  150  uneasy|不安                          149
  151  GuiltilyConscious|心虚               149
  152  unsatisfied|不满                     149
  153  melancholy|惆怅                      149
  154  upset|烦恼                           149
  155  sad|忧愁                             149
  156  sorrowful|悲哀                       149
  157  fear|害怕                            149
  158  surprise|惊奇                        149
  159  flurried|惊慌                        149
  160  worried|着急                         149
  161  angry|生气                           149
  162  disheartened|灰心                    149
  163  repent|懊悔                          149
  164  shy|羞愧                             149
  165  embarrassed|为难                     149
  166  disappointed|失望                    149
  167  Attitude|态度                        138
  168  AttitudeByGood|好态                  167
  169  FondOf|喜欢                          168
  170  like|爱惜                            169
  171  love|爱恋                            169
  172  PayAttention|注意                    168
  173  ParticularAbout|讲求                 172
  174  respect|敬佩                         168
  175  loyal|忠孝                           168
  176  admire|羡慕                          168
  177  jealous|妒忌                         176
  178  grateful|感激                        168
  179  agree|同意                           168
  180  ThinkOf|思念                         168
  181  AttitudeByBad|坏态                   167
  182  sorry|惋惜                           181
  183  pity|怜悯                            181
  184  disgust|厌恶                         181
  185  stupefied|木然                       181
  186  blame|埋怨                           181
  187  hate|仇恨                            181
  188  forgive|原谅                         181
  189  TolerateNot|不容                     181
  190  regret|抱歉                          181
  191  despise|轻视                         181
  192  disloyal|不忠                        181
  193  disagree|不同意                      181
  194  doubt|怀疑                           181
  195  volition|意向                        138
  196  expect|期望                          195
  197  need|需求                            195
  198  willing|愿意                         195
  199  unwilling|不愿                       195
  200  GrudgeNot|舍得                       195
  201  grudge|不舍                          195
  202  dare|敢于                            195
  203  hesitate|犹豫                        195
  204  recognition|感知状态                 138
  205  HaveKnowledge|有知                   204
  206  perception|感知                      205
  207  know|知道                            205
  208  understand|领会                      207
  209  regard|认为                          205
  210  believe|相信                         205
  211  remember|记得                        205
  212  BeAble|能够                          205
  213  dream|做梦                           205
  214  NoKnowledge|无知                     204
  215  ignorant|不知                        214
  216  forget|忘记                          214
  217  misunderstand|误信                   204
  218  confuse|混淆                         217
  219  BeUnable|无能                        204
  220  act|行动                               0
  221  ActGeneral|泛动                      220
  222  start|开始                           221
  223  do|做                                221
  224  try|尝试                             223
  225  endeavour|卖力                       223
  226  VieFor|快干                          223
  227  RashlyAct|蛮干                       223
  228  venture|冒险                         227
  229  cooperate|合作                       223
  230  repeat|重复                          223
  231  pretend|假装                         223
  232  engage|从事                          223
  233  bear|承担                            232
  234  undertake|担任                       233
  235  conduct|实施                         223
  236  prepare|准备                         223
  237  respond|回应                         223
  238  DoNot|不做                           221
  239  refuse|拒做                          238
  240  evade|回避                           239
  241  slack|偷懒                           238
  242  cease|停做                           221
  243  GiveUp|戒除                          242
  244  pause|暂停                           242
  245  rest|休息                            242
  246  sleep|睡                             245
  247  wait|等待                            221
  248  ActSpecific|实动                     220
  249  AlterGeneral|泛变                    248
  250  alter|改变                           249
  251  control|控制                         249
  252  manage|管理                          251
  253  handle|处理                          251
  254  arrange|安排                         251
  255  stabilize|使不变                     249
  256  AlterSpecific|实变                   248
  257  AlterRelation|变关系                 256
  258  AlterPossession|变领属               257
  259  take|取                              258
  260  seek|谋取                            259
  261  beg|乞求                             260
  262  steal|偷                             259
  263  rob|抢                               259
  264  cheat|骗                             259
  265  earn|赚                              259
  266  buy|买                               259
  267  collect|收                           259
  268  levy|征收                            267
  269  borrow|借入                          259
  270  gather|采集                          259
  271  occupy|占领                          259
  272  MarryFrom|娶                         259
  273  TakeBack|取回                        259
  274  redeem|赎                            273
  275  give|给                              258
  276  provide|供                           275
  277  GiveAsGift|赠                        275
  278  grant|赐                             277
  279  donate|捐                            277
  280  submit|交                            275
  281  return|还                            275
  282  recompense|补偿                      281
  283  issue|分发                           275
  284  sell|卖                              275
  285  lend|借出                            275
  286  pawn|押给                            275
  287  PassOn|留给                          275
  288  pay|付                               275
  289  MarryTo|嫁                           275
  290  abandon|放弃                         275
  291  exchange|交换                        258
  292  OnCredit|赊                          258
  293  AlterIsa|变是非                      257
  294  CauseToBe|使之是                     293
  295  RegardAs|当作                        294
  296  naming|称作                          294
  297  replace|代替                         294
  298  CauseNotToBe|使之非                  293
  299  dismiss|罢免                         298
  300  AlterComparison|变相比               257
  301  CompareTo|比拟                       300
  302  MakeEqual|使相等                     300
  303  AlterFitness|变相适                  257
  304  obey|遵循                            303
  305  surrender|屈服                       304
  306  coordinate|协调                      303
  307  disobey|违背                         303
  308  AlterInclusion|变包含                257
  309  include|纳入                         308
  310  discharge|开除                       308
  311  withdraw|退出                        308
  312  classify|分类                        308
  313  AlterConnection|变关联               257
  314  tie|关联                             313
  315  connect|连接                         314
  316  fasten|拴连                          315
  317  mix|混合                             314
  318  merge|合并                           314
  319  associate|交往                       314
  320  ally|结盟                            319
  321  collude|勾结                         319
  322  reconcile|讲和                       319
  323  SeekRefuge|投靠                      319
  324  meet|会面                            319
  325  GetMarried|结婚]                     319
  326  mating|交配                          319
  327  separate|分离                        313
  328  disconnect|脱离                      327
  329  farewell|离别                        327
  330  AlterCauseResult|变因果              257
  331  CauseAffect|传染                     330
  332  incur|招惹                           330
  333  AlterLocation|变空间位置             257
  334  SelfMove|自移                        333
  335  SelfMoveInManner|方式性自移          334
  336  roam|流浪                            335
  337  walk|走                              335
  338  run|跑                               335
  339  jump|跳                              335
  340  crawl|爬                             335
  341  slide|滑                             335
  342  roll|滚                              335
